,Company Names,Cars Names,Engines,HorsePower,Fuel Types,Seats,Torque,Price,Speed,Acceleration,Battery Capacity
886,Bugatti,Centodieci,8.0L Quad-Turbo W16,1600.0,petrol,2,1600.0,9000000.0,380.0,2.4,7993.0
887,Bugatti,La Voiture Noire,8.0L Quad-Turbo W16,1500.0,petrol,2,1600.0,18000000.0,420.0,2.5,7993.0
888,Bugatti,Bolide,8.0L Quad-Turbo W16,1850.0,petrol,2,1600.0,4500000.0,500.0,2.2,7993.0
889,Bugatti,Mistral,8.0L Quad-Turbo W16,1600.0,petrol,2,1600.0,5000000.0,420.0,2.4,7993.0
890,Volvo,Volvo FH,13.0L I6 Turbo Diesel,540.0,diesel,2,2600.0,120000.0,120.0,15.0,13000.0
891,Volvo,Volvo FH16,16.1L I6 Turbo Diesel,750.0,diesel,2,3500.0,160000.0,120.0,14.5,16100.0
892,Volvo,Volvo FM,12.8L I6 Turbo Diesel,460.0,diesel,2,2200.0,100000.0,110.0,16.0,12800.0
893,Volvo,Volvo FMX,13.0L I6 Turbo Diesel,500.0,diesel,2,2500.0,110000.0,110.0,16.5,13000.0
894,Volvo,Volvo VNL,12.8L I6 Turbo Diesel,500.0,diesel,2,2400.0,125000.0,120.0,15.0,12800.0
895,Volvo,Volvo VNR,12.8L I6 Turbo Diesel,400.0,diesel,2,1800.0,95000.0,110.0,17.0,12800.0
896,Volvo,Volvo VHD,12.8L I6 Turbo Diesel,500.0,diesel,2,2500.0,120000.0,100.0,18.0,12800.0
897,Volvo,Volvo FE,7.7L I6 Turbo Diesel,280.0,diesel,2,1200.0,85000.0,90.0,20.0,7700.0
898,Volvo,Volvo FL,5.1L I4 Turbo Diesel,180.0,diesel,2,800.0,75000.0,80.0,22.0,5100.0
899,Jaguar Land Rover,Jaguar F-Type,V6 / V8 Petrol,335.0,petrol,2,450.0,70000.0,260.0,5.1,2995.0
900,Jaguar Land Rover,Jaguar XE,I4 Petrol,250.0,petrol,5,365.0,45000.0,250.0,6.5,1999.0
901,Jaguar Land Rover,Jaguar XF,I4 Petrol,250.0,petrol,5,365.0,50000.0,250.0,6.5,1999.0
902,Jaguar Land Rover,Jaguar XJ,V6 Petrol,300.0,petrol,5,400.0,85000.0,250.0,6.0,2995.0
903,Jaguar Land Rover,Jaguar E-PACE,I4 Petrol,200.0,petrol,5,430.0,50000.0,230.0,7.0,1999.0
904,Jaguar Land Rover,Jaguar I-PACE,Electric (Dual Motor),400.0,electric,5,696.0,70000.0,200.0,4.8,90.0
905,Jaguar Land Rover,Jaguar F-PACE,I4 Petrol / V6 Petrol,250.0,petrol,5,365.0,60000.0,230.0,7.2,1999.0
906,Jaguar Land Rover,Jaguar X-TYPE,I4 Petrol,160.0,petrol,5,215.0,40000.0,215.0,9.0,1998.0
907,Jaguar Land Rover,Jaguar F-PACE R-Dynamic,I4 Petrol / V6 Petrol,340.0,petrol,5,480.0,65000.0,250.0,5.4,1999.0
908,Jaguar Land Rover,Jaguar XE R-Dynamic,I4 Petrol,340.0,petrol,5,450.0,60000.0,250.0,5.4,1999.0
909,Jaguar Land Rover,Jaguar F-Type SVR,V8 Petrol,575.0,petrol,2,700.0,120000.0,320.0,3.7,5000.0
910,Jaguar Land Rover,Jaguar I-PACE Electric Performance,Electric (Dual Motor),400.0,electric,5,696.0,85000.0,200.0,4.5,90.0
911,Jaguar Land Rover,Jaguar F-PACE SVR,V8 Petrol,550.0,petrol,5,700.0,85000.0,283.0,4.0,5000.0
912,Jaguar Land Rover,Jaguar XE S,I4 Petrol,340.0,petrol,5,450.0,55000.0,250.0,5.3,1999.0
913,Jaguar Land Rover,Jaguar XF R-Dynamic,I4 Petrol / V6 Petrol,340.0,petrol,5,480.0,65000.0,250.0,5.4,1999.0
914,Jaguar Land Rover,Jaguar XJ LWB (Long Wheelbase),V6 Petrol,300.0,petrol,5,400.0,90000.0,250.0,6.0,2995.0
915,Jaguar Land Rover,Jaguar F-Type Heritage Edition,V8 Petrol,550.0,petrol,2,680.0,110000.0,300.0,3.9,5000.0
916,Jaguar Land Rover,Jaguar E-PACE S,I4 Petrol,200.0,petrol,5,430.0,50000.0,230.0,7.0,1999.0
917,Jaguar Land Rover,Jaguar I-PACE HSE,Electric (Dual Motor),400.0,electric,5,696.0,90000.0,200.0,4.5,90.0
918,Jaguar Land Rover,Jaguar F-Type V8 R,V8 Petrol,550.0,petrol,2,680.0,100000.0,300.0,3.9,5000.0
919,Jaguar Land Rover,Jaguar F-Type R-Dynamic,I4 Petrol / V6 Petrol,300.0,petrol,2,400.0,70000.0,250.0,5.1,1999.0
